container_id,machine_id,time_stamp,app_du,status,cpu_request,cpu_limit,mem_size
c_504,m_2835,0,app_2334,started,400,400,1.56
c_505,m_1050,0,app_5546,started,400,400,1.56
c_506,m_3151,0,app_6556,started,400,400,1.56
c_508,m_3916,0,app_4077,started,400,400,1.56
c_509,m_2889,0,app_2506,started,400,400,1.56
c_510,m_2696,0,app_3141,stopped,400,480,3.13
c_511,m_261,0,app_2955,started,400,480,1.56
c_512,m_3557,0,app_8989,started,400,400,1.56
c_513,m_2990,0,app_6575,started,400,400,1.56
c_514,m_2544,0,app_557,started,400,400,1.56
c_515,m_36,0,app_2321,started,400,400,1.56
c_516,m_2993,0,app_7186,started,400,400,1.56
c_517,m_2904,0,app_2963,started,400,400,1.56
c_518,m_3070,578727,app_3183,started,800,800,3.13
c_521,m_626,0,app_8704,started,400,400,1.56
c_522,m_2172,0,app_8053,started,400,480,1.56
c_523,m_1023,338351,app_1225,started,400,400,1.56
c_524,m_2984,0,app_2076,started,400,400,1.56
c_525,m_1860,0,app_8347,started,800,800,3.13
c_526,m_2242,0,app_5366,started,800,800,3.13
c_528,m_3045,0,app_5407,started,400,400,1.56
c_529,m_3186,0,app_3109,started,400,400,1.56
c_531,m_473,0,app_141,started,800,800,3.13
c_532,m_2429,0,app_3300,started,400,400,1.56
c_533,m_3775,0,app_1222,stopped,400,400,1.56
c_534,m_221,0,app_2649,started,400,400,1.56
c_535,m_470,0,app_5432,started,400,400,1.56
c_536,m_1374,0,app_2294,started,400,400,1.56
c_537,m_1051,0,app_2814,started,400,480,1.56
c_540,m_2204,0,app_1916,started,400,400,1.56
c_541,m_1864,0,app_5877,started,800,800,3.13
c_542,m_1509,36628,app_2649,started,400,400,1.56
c_543,m_4000,0,app_7103,started,400,400,1.56
c_546,m_545,2063,app_6318,started,200,200,1.56
c_547,m_792,562455,app_2815,started,800,800,3.13
c_548,m_3329,0,app_8882,started,400,400,1.56
c_549,m_2898,0,app_6597,started,800,800,3.13
c_551,m_3802,0,app_130,started,800,800,3.13
c_552,m_2226,0,app_186,started,400,480,1.56
c_553,m_2319,0,app_9173,started,400,400,1.56
c_554,m_1419,342055,app_1825,started,800,800,6.25
c_555,m_174,0,app_602,started,400,400,1.56
c_557,m_3519,0,app_1651,started,800,800,6.25
c_558,m_223,0,app_8197,started,400,400,1.56
c_559,m_1589,0,app_7899,started,800,800,3.13
c_560,m_3880,0,app_1231,started,800,800,1.56
c_561,m_3961,0,app_1398,started,400,400,1.56
c_563,m_452,0,app_1904,started,400,400,1.56
c_564,m_2128,0,app_9733,started,800,800,3.13
c_565,m_744,0,app_7908,started,400,400,1.56
c_567,m_2874,0,app_1810,started,400,400,1.56
c_568,m_3531,0,app_5223,started,400,400,1.56
c_569,m_91,0,app_2660,started,800,800,3.13
c_570,m_2539,0,app_2413,started,400,400,1.56
c_571,m_3062,0,app_8575,started,400,400,3.13
c_572,m_2768,0,app_8012,started,800,800,3.13
c_573,m_1814,0,app_3589,started,400,480,1.56
c_574,m_149,0,app_7037,started,400,400,1.56
c_575,m_2645,0,app_970,started,400,400,1.56
c_577,m_1289,0,app_8347,started,800,800,3.13
c_578,m_2647,0,app_8683,started,400,400,1.56
c_579,m_595,0,app_1596,started,400,480,1.56
c_580,m_1986,0,app_4665,started,400,400,1.56
c_582,m_3046,0,app_5787,started,400,400,1.56
c_583,m_665,0,app_2951,started,400,400,1.56
